DesignName,ParticipantID,TrialID,Block1,Letter,Modifier,Size
test1,1,1,1,M,CMD_Shift,1
test1,1,2,2,M,CMD,2
test1,1,3,3,X,CMD_Shift,2
test1,1,4,4,O, ,1
test1,1,5,5,X,CMD_Alt_Shift,1
test1,1,6,6,O,Alt,1
test1,1,7,7,X,Alt,2
test1,1,8,8,X,CMD_Shift,1
test1,1,9,9,X, ,2
test1,1,10,10,M,CMD_Alt_Shift,1
test1,1,11,11,M,Alt,2
test1,1,12,12,M,CMD_Alt_Shift,2
test1,1,13,13,M,Alt,1
test1,1,14,14,O,CMD,2
test1,1,15,15,F, ,2
test1,1,16,16,F,CMD,1
test1,1,17,17,F,CMD_Alt_Shift,1
test1,1,18,18,E,Alt,1
test1,1,19,19,X,CMD_Alt_Shift,2
test1,1,20,20,F,CMD,2
test1,1,21,21,E,CMD_Shift,2
test1,1,22,22,E,CMD_Alt_Shift,2
test1,1,23,23,F,Alt,2
test1,1,24,24,F,CMD_Shift,2
test1,1,25,25,O,CMD_Shift,1
test1,1,26,26,M, ,2
test1,1,27,27,E, ,2
test1,1,28,28,X,CMD,1
test1,1,29,29,O,CMD,1
test1,1,30,30,O,Alt,2
test1,1,31,31,O,CMD_Alt_Shift,1
test1,1,32,32,M, ,1
test1,1,33,33,F, ,1
test1,1,34,34,M,CMD,1
test1,1,35,35,O, ,2
test1,1,36,36,X,CMD,2
test1,1,37,37,O,CMD_Shift,2
test1,1,38,38,M,CMD_Shift,2
test1,1,39,39,X,Alt,1
test1,1,40,40,E,Alt,2
test1,1,41,41,E,CMD,2
test1,1,42,42,X, ,1
test1,1,43,43,O,CMD_Alt_Shift,2
test1,1,44,44,E,CMD_Shift,1
test1,1,45,45,F,CMD_Alt_Shift,2
test1,1,46,46,E,CMD_Alt_Shift,1
test1,1,47,47,F,CMD_Shift,1
test1,1,48,48,E,CMD,1
test1,1,49,49,E, ,1
test1,1,50,50,F,Alt,1
test1,1,51,51,F,CMD_Shift,1
test1,1,52,52,E,CMD_Shift,1
test1,1,53,53,M,CMD_Shift,2
test1,1,54,54,E,CMD_Shift,2
test1,1,55,55,X,Alt,1
test1,1,56,56,O,CMD_Shift,1
test1,1,57,57,X,CMD,2
test1,1,58,58,O,CMD_Shift,2
test1,1,59,59,M, ,1
test1,1,60,60,E, ,1
test1,1,61,61,E,CMD_Alt_Shift,1
test1,1,62,62,F,Alt,1
test1,1,63,63,F,CMD_Alt_Shift,2
test1,1,64,64,F,CMD_Shift,2
test1,1,65,65,M,CMD,2
test1,1,66,66,X,CMD_Shift,2
test1,1,67,67,X, ,2
test1,1,68,68,F, ,2
test1,1,69,69,E,Alt,2
test1,1,70,70,O, ,1
test1,1,71,71,E,Alt,1
test1,1,72,72,F,CMD,2
test1,1,73,73,O,Alt,1
test1,1,74,74,X,CMD_Shift,1
test1,1,75,75,E, ,2
test1,1,76,76,X, ,1
test1,1,77,77,M,CMD_Alt_Shift,2
test1,1,78,78,F, ,1
test1,1,79,79,F,Alt,2
test1,1,80,80,M, ,2
test1,1,81,81,O,CMD,1
test1,1,82,82,E,CMD,2
test1,1,83,83,M,CMD_Shift,1
test1,1,84,84,O,CMD_Alt_Shift,2
test1,1,85,85,E,CMD_Alt_Shift,2
test1,1,86,86,M,CMD,1
test1,1,87,87,X,CMD,1
test1,1,88,88,E,CMD,1
test1,1,89,89,O, ,2
test1,1,90,90,F,CMD,1
test1,1,91,91,O,CMD,2
test1,1,92,92,O,CMD_Alt_Shift,1
test1,1,93,93,O,Alt,2
test1,1,94,94,F,CMD_Alt_Shift,1
test1,1,95,95,M,CMD_Alt_Shift,1
test1,1,96,96,X,CMD_Alt_Shift,2
test1,1,97,97,X,Alt,2
test1,1,98,98,M,Alt,1
test1,1,99,99,M,Alt,2
test1,1,100,100,X,CMD_Alt_Shift,1
test1,2,101,1,M,CMD_Shift,2
test1,2,102,2,M,Alt,1
test1,2,103,3,X,CMD_Alt_Shift,1
test1,2,104,4,O, ,2
test1,2,105,5,X,CMD_Alt_Shift,2
test1,2,106,6,O,Alt,2
test1,2,107,7,X,CMD_Shift,1
test1,2,108,8,X,CMD_Shift,2
test1,2,109,9,X,CMD,1
test1,2,110,10,M,CMD_Alt_Shift,2
test1,2,111,11,M,CMD_Shift,1
test1,2,112,12,F, ,1
test1,2,113,13,M,Alt,2
test1,2,114,14,O,Alt,1
test1,2,115,15,F,CMD,1
test1,2,116,16,F,CMD,2
test1,2,117,17,F,CMD_Alt_Shift,2
test1,2,118,18,E,Alt,2
test1,2,119,19,M, ,1
test1,2,120,20,F,Alt,1
test1,2,121,21,E,CMD_Alt_Shift,1
test1,2,122,22,O, ,1
test1,2,123,23,F,CMD_Shift,1
