DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist, keyboardLayout, mouseType
GestureMultiAngle,1,1,1,1,4,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,346,-1,-1,-1,0.758,1.021,1,-1,-1,-1,-1,-1,-1,541,QWERTY,touchpad
GestureMultiAngle,1,2,1,2,1,NE_SE,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,29,152,-1,-1,-1,0.933,1.183,1,-1,-1,-1,-1,-1,-1,376,QWERTY,touchpad
GestureMultiAngle,1,3,1,3,3,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,269,136,-1,-1,-1,0.7,0.966,1,-1,-1,-1,-1,-1,-1,532,QWERTY,touchpad
GestureMultiAngle,1,4,1,4,3,NE_SE,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,43,191,-1,-1,-1,0.8,1.135,1,-1,-1,-1,-1,-1,-1,274,QWERTY,touchpad
GestureMultiAngle,1,5,1,5,3,NE_SE,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,39,314,315,308,-1,0.878,1.348,1,-1,-1,-1,-1,-1,-1,525,QWERTY,touchpad
GestureMultiAngle,1,6,1,6,1,SW_NW,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,225,219,-1,-1,-1,0.877,1.178,1,-1,-1,-1,-1,-1,-1,923,QWERTY,touchpad
GestureMultiAngle,1,7,1,7,3,SW_NW,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,246,255,135,136,-1,1.116,1.615,1,-1,-1,-1,-1,-1,-1,236,QWERTY,touchpad
GestureMultiAngle,1,8,1,8,2,SW_NW,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,227,198,135,138,-1,0.961,1.446,1,-1,-1,-1,-1,-1,-1,245,QWERTY,touchpad
GestureMultiAngle,1,9,1,9,4,SW_NW,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,214,241,135,134,-1,0.845,1.397,1,-1,-1,-1,-1,-1,-1,381,QWERTY,touchpad
GestureMultiAngle,1,10,1,10,2,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,166,-1,-1,-1,0.764,1.013,1,-1,-1,-1,-1,-1,-1,821,QWERTY,touchpad
